"","transectId","originTagNum","end5mTagNum","plantID","x","y","height_Fall23","height_CurrentYear","width_CurrentYear","repro_CurrentYear","numRep_CurrentYear","notes_CurrentYear","Date","Recorded.by"
"1",15,1099,1061,213,0.03,1.2,3,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"2",15,1099,1061,214,0.06,1.57,6,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"3",15,1099,1061,215,0.06,2.37,1,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"4",15,1099,1061,216,0.09,0.2,5,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"5",15,1099,1061,217,0.15,1.45,2,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"6",15,1099,1061,218,0.16,0.55,3,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"7",15,1099,1061,219,0.18,4.85,3,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"8",15,1099,1061,220,0.22,2.2,2,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"9",15,1099,1061,221,0.23,3.85,8,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"10",15,1099,1061,222,0.24,2.05,3,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"11",15,1099,1061,223,0.26,2.16,8,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"12",15,1099,1061,224,0.29,0.18,8,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"13",15,1099,1061,225,0.29,1.62,9,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"14",15,1099,1061,226,0.31,2.33,3,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"15",15,1099,1061,227,0.31,4.45,2,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
"16",15,1099,1061,228,0.33,2.35,2,NA,NA,NA,NA,"","20240625","Arich Fruehling, Leah Veldhuisen"
