"transectId","block","type_CT_TT","originTagNum","end5mTagNum","comments","plantID","x","y","height_Spring23","height_Fall23","width_Spring23","width_Fall23","repro_Spring23","repro_Fall23","numRep_Spring23","numRep_Fall23","notes_Spring23","notes_Fall23"
"1","1","CT","1422","1454","shorten to 5 meters","1","0.07","0.1",NULL,"4",NULL,"7",NULL,"1",NULL,"1",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","2","0.09","0.05",NULL,"5",NULL,"9",NULL,"0",NULL,"0",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","3","0.25","0.26",NULL,"4",NULL,"2",NULL,"0",NULL,"0",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","4","0.62","1.68",NULL,"4.5",NULL,"9",NULL,"0",NULL,"0",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","5","0.63","0.2",NULL,"8",NULL,"10",NULL,"1",NULL,"2",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","6","0.76","0",NULL,"4",NULL,"6",NULL,"0",NULL,"0",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","7","0.77","0",NULL,"4",NULL,"8",NULL,"0",NULL,"0",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","8","0.87","0.85",NULL,"3",NULL,"6",NULL,"0",NULL,"0",NULL,
"1","1","CT","1422","1454","shorten to 5 meters","9","0.92","1.09",NULL,"3",NULL,"6",NULL,"0",NULL,"0",NULL,
"2","1","TT","1413","1440","shorten to 5 meters","10","0.25","0.25",NULL,"2",NULL,"10",NULL,"0",NULL,"0",NULL,
"2","1","TT","1413","1440","shorten to 5 meters","11","0.25","1.25",NULL,"4",NULL,"10",NULL,"0",NULL,"0",NULL,
"2","1","TT","1413","1440","shorten to 5 meters","12","0.25","2.25","9","6","3.1","8","1","0","0","0","budding","(0.35, 2.25)"
"2","1","TT","1413","1440","shorten to 5 meters","13","0.25","3.25","9","3","4.1","5","0","0","0","0","good root dirt",
"2","1","TT","1413","1440","shorten to 5 meters","14","0.25","4.25","7.5","7","3.1","6","0","0","0","0",,
"2","1","TT","1413","1440","shorten to 5 meters","15","0.75","0.75","8","5","2.6","8","1","0","0","0","budding",
