"","transectId","originTagNum","end5mTagNum","plantID","x_Mike Bone, Stanton Schell","x_Arich Fruehling, Leah Veldhuisen","x_Geena Poulter, Michelle DePrenger-Levin","x_Michael Bone, Stanton Schell","x_Michael Guidi, Brooke Washburn, Syed Jalalzai","y_Mike Bone, Stanton Schell","y_Arich Fruehling, Leah Veldhuisen","y_Geena Poulter, Michelle DePrenger-Levin","y_Michael Bone, Stanton Schell","y_Michael Guidi, Brooke Washburn, Syed Jalalzai"
"1",1,1422,1454,6,"0.76","0.76",NA,NA,NA,"0","0",NA,NA,NA
"2",1,1422,1454,7,"0.77","0.77",NA,NA,NA,"0","0",NA,NA,NA
"3",1,1422,1454,1472,"0.05",NA,NA,NA,NA,"0.05",NA,NA,NA,NA
"4",1,1422,1454,2,"0.09","0.09",NA,NA,NA,"0.05","0.05",NA,NA,NA
"5",1,1422,1454,1,"0.07","0.07",NA,NA,NA,"0.1","0.1",NA,NA,NA
"6",1,1422,1454,1491,"0.24",NA,NA,NA,NA,"0.13",NA,NA,NA,NA
"7",1,1422,1454,1600,NA,"0.9",NA,NA,NA,NA,"0.14",NA,NA,NA
"8",1,1422,1454,1473,"0.31","0.3",NA,NA,NA,"0.22","0.2",NA,NA,NA
"9",1,1422,1454,5,"0.63","0.63",NA,NA,NA,"0.2","0.2",NA,NA,NA
"10",1,1422,1454,3,"0.25","0.25",NA,NA,NA,"0.26","0.26",NA,NA,NA
"11",1,1422,1454,1475,"0.34","0.33",NA,NA,NA,"0.26","0.27",NA,NA,NA
"12",1,1422,1454,1474,NA,"0.3",NA,NA,NA,NA,"0.28",NA,NA,NA
"13",1,1422,1454,1476,"0.53","0.54",NA,NA,NA,"0.4","0.41",NA,NA,NA
"14",1,1422,1454,1477,"0.42","0.44",NA,NA,NA,"0.42","0.42",NA,NA,NA
"15",1,1422,1454,1601,NA,"0.53",NA,NA,NA,NA,"0.5",NA,NA,NA
"16",1,1422,1454,1478,NA,"0.31",NA,NA,NA,NA,"0.54",NA,NA,NA
